122 62 22
1.39804e-76 15 5 0
1.39804e-76 16 5 0
1.39804e-76 17 5 0
1.39804e-76 18 5 0
1.39804e-76 19 5 0
1.39804e-76 20 5 0
1.39804e-76 21 5 0
1.39804e-76 22 5 0
1.39804e-76 23 5 0
1.39804e-76 24 5 0
1.39804e-76 25 5 0
1.39804e-76 26 5 0
1.39804e-76 27 5 0
1.39804e-76 28 5 0
1.39804e-76 29 5 0
1.39804e-76 30 5 0
1.39804e-76 31 5 0
1.39804e-76 32 5 0
1.39804e-76 33 5 0
1.39804e-76 34 5 0
1.39804e-76 35 5 0
1.39804e-76 36 5 0
1.39804e-76 37 5 0
1.39804e-76 38 5 0
1.39804e-76 39 5 0
1.39804e-76 40 5 0
1.39804e-76 41 5 0
1.39804e-76 42 5 0
1.39804e-76 43 5 0
1.39804e-76 44 5 0
1.39804e-76 45 5 0
1.39804e-76 46 5 0
1.39804e-76 47 5 0
1.39804e-76 48 5 0
1.39804e-76 49 5 0
1.39804e-76 50 5 0
1.39804e-76 51 5 0
1.39804e-76 52 5 0
1.39804e-76 53 5 0
1.39804e-76 54 5 0
1.39804e-76 55 5 0
1.39804e-76 56 5 0
1.39804e-76 57 5 0
1.39804e-76 58 5 0
1.39804e-76 59 5 0
1.39804e-76 60 5 0
1.39804e-76 61 5 0
1.39804e-76 62 5 0
1.39804e-76 63 5 0
1.39804e-76 64 5 0
1.39804e-76 65 5 0
1.39804e-76 66 5 0
1.39804e-76 67 5 0
1.39804e-76 68 5 0
1.39804e-76 69 5 0
1.39804e-76 70 5 0
1.39804e-76 71 5 0
1.39804e-76 72 5 0
1.39804e-76 73 5 0
1.39804e-76 74 5 0
1.39804e-76 75 5 0
1.39804e-76 76 5 0
1.39804e-76 77 5 0
1.39804e-76 78 5 0
1.39804e-76 79 5 0
1.39804e-76 80 5 0
1.39804e-76 81 5 0
1.39804e-76 82 5 0
1.39804e-76 83 5 0
1.39804e-76 84 5 0
1.39804e-76 85 5 0
1.39804e-76 86 5 0
1.39804e-76 87 5 0
1.39804e-76 88 5 0
1.39804e-76 89 5 0
1.39804e-76 90 5 0
1.39804e-76 91 5 0
1.39804e-76 92 5 0
1.39804e-76 93 5 0
1.39804e-76 94 5 0
1.39804e-76 95 5 0
1.39804e-76 96 5 0
1.39804e-76 97 5 0
1.39804e-76 98 5 0
1.39804e-76 99 5 0
1.39804e-76 100 5 0
1.39804e-76 101 5 0
1.39804e-76 102 5 0
1.39804e-76 103 5 0
1.39804e-76 104 5 0
1.39804e-76 105 5 0
1.39804e-76 106 5 0
1.39804e-76 107 5 0
1.39804e-76 108 5 0
1.39804e-76 109 5 0
1.39804e-76 110 5 0
1.39804e-76 111 5 0
1.39804e-76 112 5 0
1.39804e-76 113 5 0
1.39804e-76 114 5 0
1.39804e-76 115 5 0
1.39804e-76 116 5 0
1.39804e-76 117 5 0
1.39804e-76 118 5 0
1.39804e-76 119 5 0
1.39804e-76 120 5 0
1.39804e-76 121 5 0
1.39804e-76 0 6 0
1.39804e-76 1 6 0
1.39804e-76 2 6 0
1.39804e-76 3 6 0
1.39804e-76 4 6 0
1.39804e-76 5 6 0
1.39804e-76 6 6 0
1.39804e-76 7 6 0
1.39804e-76 8 6 0
1.39804e-76 9 6 0
1.39804e-76 10 6 0
1.39804e-76 11 6 0
1.39804e-76 12 6 0
1.39804e-76 13 6 0
1.39804e-76 14 6 0
1.39804e-76 15 6 0
1.39804e-76 16 6 0
1.39804e-76 17 6 0
1.39804e-76 18 6 0
1.39804e-76 19 6 0
1.39804e-76 20 6 0
1.39804e-76 21 6 0
1.39804e-76 22 6 0
1.39804e-76 23 6 0
1.39804e-76 24 6 0
1.39804e-76 25 6 0
1.39804e-76 26 6 0
1.39804e-76 27 6 0
1.39804e-76 28 6 0
1.39804e-76 29 6 0
1.39804e-76 30 6 0
1.39804e-76 31 6 0
1.39804e-76 32 6 0
1.39804e-76 33 6 0
1.39804e-76 34 6 0
1.39804e-76 35 6 0
1.39804e-76 36 6 0
1.39804e-76 37 6 0
1.39804e-76 38 6 0
1.39804e-76 39 6 0
1.39804e-76 40 6 0
1.39804e-76 41 6 0
1.39804e-76 42 6 0
1.39804e-76 43 6 0
1.39804e-76 44 6 0
1.39804e-76 45 6 0
1.39804e-76 46 6 0
1.39804e-76 47 6 0
1.39804e-76 48 6 0
1.39804e-76 49 6 0
1.39804e-76 50 6 0
1.39804e-76 51 6 0
1.39804e-76 52 6 0
1.39804e-76 53 6 0
1.39804e-76 54 6 0
1.39804e-76 55 6 0
1.39804e-76 56 6 0
1.39804e-76 57 6 0
1.39804e-76 58 6 0
1.39804e-76 59 6 0
1.39804e-76 60 6 0
1.39804e-76 61 6 0
1.39804e-76 62 6 0
1.39804e-76 63 6 0
1.39804e-76 64 6 0
1.39804e-76 65 6 0
1.39804e-76 66 6 0
1.39804e-76 67 6 0
1.39804e-76 68 6 0
1.39804e-76 69 6 0
1.39804e-76 70 6 0
1.39804e-76 71 6 0
1.39804e-76 72 6 0
1.39804e-76 73 6 0
1.39804e-76 74 6 0
1.39804e-76 75 6 0
1.39804e-76 76 6 0
1.39804e-76 77 6 0
1.39804e-76 78 6 0
1.39804e-76 79 6 0
1.39804e-76 80 6 0
1.39804e-76 81 6 0
1.39804e-76 82 6 0
1.39804e-76 83 6 0
1.39804e-76 84 6 0
1.39804e-76 85 6 0
1.39804e-76 86 6 0
1.39804e-76 87 6 0
1.39804e-76 88 6 0
1.39804e-76 89 6 0
1.39804e-76 90 6 0
1.39804e-76 91 6 0
1.39804e-76 92 6 0
1.39804e-76 93 6 0
1.39804e-76 94 6 0
1.39804e-76 95 6 0
1.39804e-76 96 6 0
1.39804e-76 97 6 0
1.39804e-76 98 6 0
1.39804e-76 99 6 0
1.39804e-76 100 6 0
1.39804e-76 101 6 0
1.39804e-76 102 6 0
1.39804e-76 103 6 0
1.39804e-76 104 6 0
1.39804e-76 105 6 0
1.39804e-76 106 6 0
1.39804e-76 107 6 0
1.39804e-76 108 6 0
1.39804e-76 109 6 0
1.39804e-76 110 6 0
1.39804e-76 111 6 0
1.39804e-76 112 6 0
1.39804e-76 113 6 0
1.39804e-76 114 6 0
1.39804e-76 115 6 0
1.39804e-76 116 6 0
1.39804e-76 117 6 0
1.39804e-76 118 6 0
1.39804e-76 119 6 0
1.39804e-76 120 6 0
1.39804e-76 121 6 0
1.39804e-76 0 7 0
1.39804e-76 1 7 0
1.39804e-76 2 7 0
1.39804e-76 3 7 0
1.39804e-76 4 7 0
1.39804e-76 5 7 0
1.39804e-76 6 7 0
1.39804e-76 7 7 0
1.39804e-76 8 7 0
1.39804e-76 9 7 0
1.39804e-76 10 7 0
1.39804e-76 11 7 0
1.39804e-76 12 7 0
